month,ten_new_campuses,ten_total_invoiced_ngn,ten_cash_collected_ngn,twenty_five_new_campuses,twenty_five_total_invoiced_ngn,twenty_five_cash_collected_ngn,fifty_new_campuses,fifty_total_invoiced_ngn,fifty_cash_collected_ngn
Jan,0,0,0,0,0,0,1,12900000,6870000
Feb,0,0,0,1,12900000,6870000,2,28200000,20410000
Mar,1,12900000,6870000,1,15300000,14220000,2,30600000,29520000
Apr,1,15300000,14220000,2,28200000,22170000,3,43500000,37470000
May,1,15300000,15300000,2,30600000,29520000,4,58800000,51690000
Jun,1,15300000,15300000,2,30600000,30600000,4,61200000,60120000
Jul,1,15300000,15300000,2,30600000,30600000,4,61200000,61200000
Aug,1,15300000,15300000,3,43500000,37470000,5,74100000,68070000
Sep,1,15300000,15300000,3,45900000,44820000,5,76500000,75420000
Oct,1,15300000,15300000,3,45900000,45900000,6,89400000,83370000
Nov,1,15300000,15300000,3,45900000,45900000,7,104700000,97590000
Dec,1,15300000,15300000,3,45900000,45900000,7,107100000,106020000
