scenario,month_num,month,new_campuses,cumulative_campuses,subscription_invoiced_ngn,implementation_invoiced_ngn,addon_invoiced_ngn,total_invoiced_ngn,cash_collected_ngn
10_campuses,1,Jan,0,0,0,0,0,0,0
10_campuses,2,Feb,0,0,0,0,0,0,0
10_campuses,3,Mar,1,1,10800000,2100000,0,12900000,6870000
10_campuses,4,Apr,1,2,10800000,3500000,1000000,15300000,14220000
10_campuses,5,May,1,3,10800000,3500000,1000000,15300000,15300000
10_campuses,6,Jun,1,4,10800000,3500000,1000000,15300000,15300000
10_campuses,7,Jul,1,5,10800000,3500000,1000000,15300000,15300000
10_campuses,8,Aug,1,6,10800000,3500000,1000000,15300000,15300000
10_campuses,9,Sep,1,7,10800000,3500000,1000000,15300000,15300000
10_campuses,10,Oct,1,8,10800000,3500000,1000000,15300000,15300000
10_campuses,11,Nov,1,9,10800000,3500000,1000000,15300000,15300000
10_campuses,12,Dec,1,10,10800000,3500000,1000000,15300000,15300000
25_campuses,1,Jan,0,0,0,0,0,0,0
25_campuses,2,Feb,1,1,10800000,2100000,0,12900000,6870000
25_campuses,3,Mar,1,2,10800000,3500000,1000000,15300000,14220000
25_campuses,4,Apr,2,4,21600000,5600000,1000000,28200000,22170000
25_campuses,5,May,2,6,21600000,7000000,2000000,30600000,29520000
25_campuses,6,Jun,2,8,21600000,7000000,2000000,30600000,30600000
25_campuses,7,Jul,2,10,21600000,7000000,2000000,30600000,30600000
25_campuses,8,Aug,3,13,32400000,9100000,2000000,43500000,37470000
25_campuses,9,Sep,3,16,32400000,10500000,3000000,45900000,44820000
25_campuses,10,Oct,3,19,32400000,10500000,3000000,45900000,45900000
25_campuses,11,Nov,3,22,32400000,10500000,3000000,45900000,45900000
25_campuses,12,Dec,3,25,32400000,10500000,3000000,45900000,45900000
50_campuses,1,Jan,1,1,10800000,2100000,0,12900000,6870000
50_campuses,2,Feb,2,3,21600000,5600000,1000000,28200000,20410000
50_campuses,3,Mar,2,5,21600000,7000000,2000000,30600000,29520000
50_campuses,4,Apr,3,8,32400000,9100000,2000000,43500000,37470000
50_campuses,5,May,4,12,43200000,12600000,3000000,58800000,51690000
50_campuses,6,Jun,4,16,43200000,14000000,4000000,61200000,60120000
50_campuses,7,Jul,4,20,43200000,14000000,4000000,61200000,61200000
50_campuses,8,Aug,5,25,54000000,16100000,4000000,74100000,68070000
50_campuses,9,Sep,5,30,54000000,17500000,5000000,76500000,75420000
50_campuses,10,Oct,6,36,64800000,19600000,5000000,89400000,83370000
50_campuses,11,Nov,7,43,75600000,23100000,6000000,104700000,97590000
50_campuses,12,Dec,7,50,75600000,24500000,7000000,107100000,106020000
